Index,Time,Bid,Utility
250,120,21845,108134.5024
251,360,1030,29800.706304999996
252,600,1125,9525.70420275
253,0,45200,86997.8462
254,0,45000,88850.3044
255,0,87400,62467.3873
256,0,33600,50628.519589999996
257,180,39865,242322.42940000002
258,180,21845,165325.4835
259,0,45200,94691.9007
260,300,2600,179687.95020833335
261,360,1115,19717.23419
262,360,1115,19717.23419
263,0,73800,115631.5412
264,720,1130,14899.2802935
265,360,1285,35606.71309
266,240,19125,39453.87311108334
267,0,41400,29326.596680000002
268,720,1285,23362.9649
269,0,45200,59718.9256
270,300,955,26266.64104833333
271,300,1465,80862.2629
272,720,1865,26377.275682500003
273,720,955,13173.879438249998
274,600,1030,19646.148278166664
275,0,45000,59570.5503
276,240,19040,116824.68062166666
277,180,42750,62111.024099999995
278,240,19125,39453.87311108334
279,120,19125,94740.7104
280,300,1845,8342.20733
281,720,1685,48004.84891
282,600,1125,51160.27517583333
283,600,1125,7240.644028000001
284,720,2040,27463.835861500003
285,300,1865,105375.01601166667
286,120,31790,118231.07819999999
287,720,1125,21749.807885
288,720,1130,9449.32499425
289,120,19125,98400.6796
290,720,1120,19782.25856
291,180,42750,62111.024099999995
292,240,19125,174524.167315
293,600,1125,51160.27517583333
294,300,1120,65745.99702633334
295,360,1130,35300.1824845
296,240,19210,103545.1429
297,360,1130,10294.505229999999
298,300,2600,61810.58694000001
299,720,1115,16197.105977250001
300,240,21845,128770.75425
301,300,1130,49231.084265833335
302,720,2600,20403.78105
303,180,19040,148293.8705
304,0,45000,72525.6796
305,0,45000,29361.280249999996
306,180,31790,308393.8508
307,300,1300,86110.53525666667
308,-1,-1,0
309,240,19125,44692.08308858333
310,240,69105,255702.9335183333
311,180,14450,155508.8927
312,120,94435,342009.0673
313,-1,-1,0
314,120,28815,173435.5629
315,300,1130,57896.61033833334
316,-1,-1,0
317,360,1110,40946.2562225
318,360,1130,22185.31679
319,240,16235,79670.12101333334
320,0,42800,138985.8358
321,720,1130,10294.505229999999
322,360,1130,21821.014965000002
323,0,45000,57479.139299999995
324,480,1125,18206.028124583332
325,720,1115,21967.807969999998
326,360,1865,44816.4474105
327,720,1865,16107.357252499998
328,300,1115,17505.131760166667
329,600,960,12244.31532
330,240,19210,29363.576648166665
331,360,1035,20425.828813250002
332,720,955,15691.38886
333,600,1705,53346.45229083334
334,300,1865,70279.055082
335,360,1860,17198.544169999997
336,0,42800,37993.704809999996
337,300,1070,47784.826813499996
338,720,1870,26875.535397499996
339,300,1130,11984.86569
340,240,28730,45651.988849999994
341,360,1865,103168.256665
342,300,1465,80862.2629
343,-1,-1,0
344,720,2420,31116.4726775
345,480,6330,79697.5589
346,600,1860,21659.6552525
347,240,41395,109304.41029249999
348,180,19210,191210.734
349,240,19210,29363.576648166665
350,300,955,43435.370300166665
351,0,45200,49227.03300000001
352,360,1860,22619.641180000002
353,720,1125,31814.7233575
354,720,1125,9041.581284249998
355,300,1125,86172.04458999999
356,600,1125,9525.70420275
357,720,1120,16395.0504565
358,600,1130,26556.938690499996
359,-1,-1,0
360,360,1030,28835.547513499998
361,240,44285,114238.30730583332
362,720,1125,7589.212529249999
363,300,1175,34477.28271
364,300,1120,71391.34387499999
365,300,1130,17755.4066
366,300,1120,89456.45376
