TXID,Size,time,min_value,max_value
b3616be54b9753466d7242ed183ee3d044f52914e7459ca054cbffe590978841,522,1510267218,18456.08501,129192.5951
78bf079693e643144bb0cc695575f5d8f92f500294112a0bf4c10c711f113797,192,1510265479,8716.911287,26150.73386
c5850b507cb8ef214528c12becbfc3bc41898bfc377d83c34ebd6b5b7207e51c,189,1510265900,13049.27304,91344.91131
753481204400235f8f8ed331d187872732ae7529a7d2123fd8caa1ef9d33daa5,206,1510266813,21750.05736,217500.5736
5f306dddd51f0d4568ee9757296e25fb3c3f7dc67294076a9d74144042cbab75,225,1510265790,14872.25605,104105.7923
779ba1ca5f6c2605bff0cd6e327dc555fe1bf485f32cfa59d76786f9d14403b0,226,1510264782,16845.31638,151607.8474
4eeb5dc42f19673d36efdbc89b734a6b0f7bb88b04a6a50472b211d9bfe9e623,3442,1510264396,129869.1483,779214.8896
ef45d10741b9e71bff52215550e809a5c89bc1fbd184003f96ebe2fd343b0ece,223,1510266189,16677.32876,83386.64379
8058e7c613d06c42163b63c47eff6aa9976da5c797aa40b8284e50f1a1f13ffa,257,1510266015,14442.16693,72210.83467
b9ff23d2ba6d44d7efe22ddf30793e624865cab0452aa8d43e7acfb728304035,520,1510264462,35281.53875,282252.31
8228a4673dc8e1c19db6a52fd8cdce1917e0130a1b0b359eeac56104d3ff8090,225,1510266450,16789.38281,67157.53122
6180dba4694c98bd24ded843a8a9dd0cf190bf676feedd21a64cf7a87178ef7c,223,1510265458,14772.9971,147729.971
c1002644bedd53a7177633ad8544c85c89bb43886225d05cfe85a1c9ab3b764d,225,1510264550,7029.464773,42176.78864
8c50d51e16dff778041cf5aa86d04fb5ff4af001346569236628f2c949ac0465,223,1510266749,18697.07446,56091.22337
3dd3895a100daf7540f82c43d948bc2248f5cb5e69a9684b95b6ae15fd34be60,226,1510264650,18885.4066,56656.2198
5e1c0ced1b27e0474914e940e7f6ca6a6cd9fb8ddf45aa88dafbd560f2d7c4ba,191,1510265552,7398.395051,22195.18515
c29cdffbc86fb7c395bb0fde1009f480abab2ffead186cbf7214fcf1bd0ef4eb,1936,1510266432,116745.1926,1050706.734
1d4acb169dca0948dc3692769d2ea406555274500685421cd0c844e690c7e6b5,168,1510266861,13485.89593,67429.47967
f1f1127a7b0746a50a00fe4d7c3ebe8069b05baf4a5da3aebc509493170209d9,634,1510266887,12634.75845,50539.03379
1a0055010f2210b4ab2230fa9e6b554d59482c1c3eb2ef33e91653fd15f0abba,522,1510264815,24571.71081,147430.2649
3f39c8904161267e6833efa528cafe4319a564ac0b3d892e8930fff251bc68ae,223,1510265490,14772.9971,103410.9797
7e228d26290f179fde2e1065360312352175ed812986108e74e380ea2c93cd50,224,1510265880,18759.92181,56279.76543
9c62eb1b238eb200a0d100907c47c3e0f19a7a6dad46e5ae45c93555a2c0cfc1,174,1510265750,5796.919994,52172.27995
c86c5d4751fd51be71093921e01aa024f41c8b0cc75fbcda379758e9df9c9b2f,224,1510265850,23160.3973,185283.1784
0126af10cdcf866c81e76f1b28c3b14d299f7fa88d25c35aed0c6c19fc2ce49e,226,1510264927,7052.883329,42317.29997
cb5c7d50f2bf24e208e9c4de6a0a47eeb018c074cddd2dde9edca17128088291,668,1510265603,22205.93435,222059.3435
36447347fd34f3448c8b40865518017f7216a793f85b04f58bc8daeba5853f83,191,1510266223,11559.99227,23119.98453
b3eee91767671522a7fcb79e200b0d08c16a656665b0d810f54097086bc325a5,226,1510264764,9850.721344,29552.16403
00b081df1b71fbede94f95c0ef1e16da242b24e0b9f395f4f2d408da81ba9714,7157,1510264385,280902.4097,1404512.049
3b1d87e74e0c51391ddcd2bbbe8c0a2c61fe6acadedee2fd2d92ec9251b439fa,256,1510264618,16384,81920
fb88a3d94242bab68957b5c8326fd8c09abefa78fcbad7b2dbe01a33905dcd00,191,1510265191,11559.99227,115599.9227
93b800da714fdc6460ad4a379fa2356b1fccdc88485fa02928ebd8024dc8b100,226,1510264564,18885.4066,37770.8132
985f804d41652b6c85bbb32e0cf39570c94999d8c48eda73a17976a272476ee6,225,1510267179,20972.20482,104861.0241
c658404893404a7e713e94eb0c1972417bae080d5f94f8e8f309bbfd48c8c42b,189,1510265298,13049.27304,39147.81913
4f116aea8036b2249689b940d9149610dc97833c25eefed44b60d99e96bfbc94,223,1510264877,23082.80797,161579.6558
4be80a6b1691e29197c4a2f6c5ffacb4b53c0c87bab440b69c2e31e82bd40368,336,1510264396,7847.918026,47087.50816
7f19d5061cf860e6218df8a8f88789b088485b5baf0c8619d3e76d8df0a16ea1,226,1510265011,16845.31638,33690.63276
825ad6e15592f0360054bff066fc0f5179bc671b18e3d4a0e8a0c6904cdd490f,372,1510265975,33881.8563,169409.2815
